Word,Frequency,PMI,R_Entropy,L_Entropy
唯,46,80,4.905974696849669,3.334679141051595
鲁,46,80,3.4612675767277152,3.4504696892422233
杀,45,80,4.81562257082666,4.855789718806775
变,45,80,3.5746987351738495,4.387465039153175
容,44,80,4.696131794257842,4.146439344671015
木,44,80,4.140319531114783,4.134183719779189
服,44,80,4.014146761422728,4.768947021993019
师,44,80,3.6660928025292407,3.961075539586747
果,43,80,4.414409522043332,3.7639657428240807
卷,43,80,3.746439344671016,2.4056390622295662
舜,43,80,3.6256828354468493,2.5
气,43,80,3.5892750707107135,4.71201888248042
精,43,80,3.173660689688186,4.099665973303956
俗,43,80,2.6474390525125995,3.27772828198987
鱼,42,80,4.3264658909811935,4.148394345536404
怒,42,80,4.17146526179041,3.662573265150912
辞,42,80,4.0836169753972325,4.616874605956221
告,42,80,3.969607339117404,3.569652842106287
亡,42,80,3.577711327707614,4.038909765557392
病,42,80,3.403107168362811,4.465551745758733
难,41,80,3.8292750707107133,4.395128251428672
信,41,80,3.741446071165522,3.7646504614277885
贤,41,80,3.653495561774943,4.265319531114783
千,41,80,3.278212945841002,4.264578373902383
剑,41,80,3.2044479607083516,3.613566557237422
里,41,80,2.9151959937952423,3.401198540519581
乘,40,80,4.106949132758152,3.9873008763572906
胜,40,80,3.757396947487723,3.7658640841935678
颜,40,80,2.298712549531193,3.169925001442312
学,39,80,3.995906598484245,4.548394345536403
分,39,80,3.923231428797621,4.44035104292869
几,39,80,3.8957149348842655,3.2500778750209967
前,39,80,3.589898095464288,3.52172123104524
取,38,80,4.801969876934211,4.491443355765327
重,38,80,4.389364858634393,4.696131794257842
尽,38,80,4.3636085007312415,4.506890595608519
守,38,80,4.057575159678482,4.558051076544457
门,38,80,4.056020968057882,4.099665973303956
比,38,80,3.8048263567080802,3.7600115303896287
墨,38,80,3.2852885811475985,3.1604743328600247
似,37,80,4.972834784489398,3.240528260216711
甚,37,80,4.006876945083701,4.237291339955158
功,37,80,3.970573095811685,3.7726095206097563
惑,37,80,3.736006946447656,4.2339466645252255
静,37,80,3.715018266288633,3.95006375643621
喜,37,80,3.4438561897747246,4.161987589698946
极,37,80,3.084183719779189,4.364857659740296
昔,37,80,2.127239176728645,2.2359263506290326
月,36,80,4.119902579793958,2.586521779642603
藏,36,80,4.021640636343318,3.919902579793958
当,36,80,3.9976968118577387,3.3816201079487347
本,36,80,3.994680368408909,3.7983512260625822
达,36,80,3.9503441981686893,3.938721875540867
伤,36,80,3.9093680639438846,4.270910335425637
鬼,36,80,3.709282221599798,2.696131794257843
劳,36,80,3.6335059949783672,3.9582291686698783
主,36,80,3.572469458770135,3.349965423573798
北,36,80,3.3735572622751855,3.6978458230844122
悲,36,80,2.855279393101204,3.6732696895151085
高,35,80,4.209867121904035,4.0667842134731025
顺,35,80,4.107010619399147,3.8553885422075336
休,35,80,4.003856189774725,4.23275992404493
教,35,80,3.970175521464345,3.741962789037907
弗,35,80,3.9188679318992437,4.039211536948156
体,35,80,3.8868421881310113,4.101409765557392
爱,35,80,3.8686645537932223,3.7080481500712312
害,35,80,3.690260390968384,4.016687195468966
渊,35,80,3.624680346973648,2.9939169809561954
哀,35,80,3.2518411137950776,3.6283511419515837
余,34,80,4.000645725252347,2.946436481492097
法,34,80,3.905924427043544,4.086790375244804
发,34,80,3.8798938235206655,4.151478922893308
解,34,80,3.704349428956051,4.180832987205441
金,34,80,3.486440501696144,3.377387064296613
舍,34,80,3.3685225277282065,3.573934896284056
理,34,80,2.353533948577482,3.502258412694598
白,33,80,4.310443057719024,4.110577243331642
鸟,33,80,4.017824858003424,3.580462199727102
少,33,80,3.896291529045928,4.021928094887363
车,33,80,3.893660689688186,4.3248487296021345
归,33,80,3.85216872360328,3.9171886421180044
东,33,80,3.8199621342988053,3.9321380397593746
进,33,80,3.708132064658601,3.6158175946759323
愿,33,80,3.533107671515576,3.4992275471326924
远,33,80,2.921332232515685,3.7178504651264315
弃,32,80,4.220167681284828,4.286790198827113
修,32,80,4.032303242743952,4.136842188131012
累,32,80,3.905764584655453,3.8693312611115185
徒,32,80,3.4464393446710155,2.336897470347699
富,32,80,3.3816201079487347,4.163856189774725
七,32,80,3.3689250793612646,3.403989446485262
衣,31,80,4.011365041826379,3.7919245392005054
机,31,80,3.740953260404839,3.6980685120588386
久,31,80,2.0838561897747248,4.392747410448784
丧,30,80,4.066108939837481,4.487122805397797
流,30,80,4.053508854797678,3.762267390651494
谋,30,80,3.6835423624332306,3.665420334520565
志,30,80,3.29277019393699,4.132944044980959
梦,30,80,3.2430741894285697,3.4406363526732666
河,30,80,2.848373912014369,3.880179922675738
笑,30,80,2.765957320949175,3.1033667177473787
云,30,80,2.2773276830375746,3.6901165175936645
口,29,80,4.070656113151928,3.916126946588284
既,29,80,4.0424125656653915,3.7004397181410926
尊,29,80,3.8208888513501886,4.209867121904035
贱,29,80,3.6537567082870015,3.0641893753728278
听,29,80,3.3500510751569927,3.168232893338811
定,29,80,3.284183719779189,4.0043444463675275
起,29,80,2.9219280948873623,3.7671834678914613
巧,28,80,4.142664355548848,3.779470570797252
益,28,80,3.970573095811685,4.023465189601647
直,27,80,4.161978179679553,3.4548223999466057
卒,27,80,4.133660689688186,3.1961547809328676
任,27,80,4.106603137064474,3.535174565635903
深,27,80,4.070656113151928,4.163856189774725
随,27,80,3.8796640049025943,3.834962500721156
施,27,80,3.7256507561120937,3.334962500721156
夜,27,80,3.2913928761709625,3.168232893338811
楚,27,80,3.260784558297852,3.391892644680932
太,27,80,3.006064802563774,3.6163485660751644
再,27,80,2.7171263907318433,3.149397470347699
举,26,80,3.938721875540867,3.94770277922009
八,26,80,3.902174814211728,3.7489948035250964
或,26,80,3.825251737288651,2.521640636343318
争,26,80,3.521640636343318,3.4399364703978077
并,26,80,3.507601311512057,4.088779347361361
论,26,80,3.463280517810811,3.9754180179138334
冥,26,80,3.327819531114783,3.5932696895151084
作,26,80,3.32110433057849,3.931838457168456
罪,26,80,3.2158411726837532,3.4906015629507223
遇,25,80,4.436605434317883,3.879664004902594
执,25,80,4.053508854797678,4.142664355548848
强,25,80,3.8820451081368623,2.9056390622295662
殆,25,80,3.8442328987631917,3.086048612313038
平,25,80,3.6421498816369042,3.4058222502856905
田,25,80,3.5227119556807573,2.8150724101159437
秋,25,80,3.471354487013929,2.496126854751781
首,25,80,3.180832987205441,3.55508495181978
规,25,80,3.165957320949175,3.5511911744656963
家,25,80,3.080500530640267,3.0535088547976783
宋,25,80,3.016875695766564,2.739572261986723
造,25,80,3.0009619827626763,3.290321609248305
走,25,80,2.725480556997868,2.7008257945180882
遗,24,80,3.9754180179138334,3.4104172527605194
石,24,80,3.8924071185928764,3.410099326733673
散,24,80,3.6897037321995474,3.625
指,24,80,3.6464393446710157,3.880179922675738
枝,24,80,3.528064311584049,3.8219280948873626
愚,24,80,3.3263604079526936,3.6835423624332306
末,24,80,3.260784558297852,2.384183719779189
泽,24,80,3.197159723424149,2.7068905956085185
火,24,80,3.169925001442312,3.826874881864638
羊,24,80,2.7603136973125113,2.319240704636849
狂,24,80,2.6873230684749942,3.6168746059562213
凡,23,80,3.9690016298759927,2.321928094887362
岂,23,80,3.9148663038831,3.169925001442312
经,23,80,3.6644977792004614,3.931838457168456
光,23,80,3.180832987205441,3.471354487013929
鼓,23,80,3.099436412484688,3.25
忠,23,80,2.9219280948873623,3.640223928941852
武,23,80,2.8084543309292345,2.94770277922009
誉,23,80,2.7489400470054295,3.6537567082870015
儒,23,80,2.1577174691301484,3.375
绝,22,80,4.058813890331201,4.087462841250339
